Alue;val
Ahvenanmaa;10
Varsinais-Suomen SHP;237
Satakunnan SHP;48
Kanta-Hämeen SHP;70
Pirkanmaan SHP;201
Päijät-Hämeen SHP;66
Kymenlaakson SHP;33
Etelä-Karjalan SHP;14
Etelä-Savon SHP;44
Itä-Savon SHP;10
Pohjois-Karjalan SHP;23
Pohjois-Savon SHP;119
Keski-Suomen SHP;117
Etelä-Pohjanmaan SHP;36
Vaasan SHP;45
Keski-Pohjanmaan SHP;13
Pohjois-Pohjanmaan SHP;115
Kainuun SHP;48
Länsi-Pohjan SHP;89
Lapin SHP;68
Helsingin ja Uudenmaan SHP;2723
Kaikki Alueet;4129
