Alue;val
Ahvenanmaa;11
Varsinais-Suomen SHP;294
Satakunnan SHP;53
Kanta-Hämeen SHP;89
Pirkanmaan SHP;237
Päijät-Hämeen SHP;78
Kymenlaakson SHP;40
Etelä-Karjalan SHP;16
Etelä-Savon SHP;46
Itä-Savon SHP;10
Pohjois-Karjalan SHP;24
Pohjois-Savon SHP;127
Keski-Suomen SHP;127
Etelä-Pohjanmaan SHP;37
Vaasan SHP;51
Keski-Pohjanmaan SHP;13
Pohjois-Pohjanmaan SHP;129
Kainuun SHP;63
Länsi-Pohjan SHP;126
Lapin SHP;70
Helsingin ja Uudenmaan SHP;3932
Kaikki Alueet;5573
