Alue;Aika;val
Lapin SHP;Vuosi 2020 Viikko 21;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 21;
Kaikki Alueet;Vuosi 2020 Viikko 21;
Ahvenanmaa;Vuosi 2020 Viikko 22;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 22;
Satakunnan SHP;Vuosi 2020 Viikko 22;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 22;
Pirkanmaan SHP;Vuosi 2020 Viikko 22;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 22;
Kymenlaakson SHP;Vuosi 2020 Viikko 22;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 22;
Etelä-Savon SHP;Vuosi 2020 Viikko 22;
Itä-Savon SHP;Vuosi 2020 Viikko 22;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 22;
Pohjois-Savon SHP;Vuosi 2020 Viikko 22;
Keski-Suomen SHP;Vuosi 2020 Viikko 22;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 22;
Vaasan SHP;Vuosi 2020 Viikko 22;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 22;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 22;
Kainuun SHP;Vuosi 2020 Viikko 22;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 22;
Lapin SHP;Vuosi 2020 Viikko 22;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 22;
Kaikki Alueet;Vuosi 2020 Viikko 22;
Ahvenanmaa;Vuosi 2020 Viikko 23;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 23;
Satakunnan SHP;Vuosi 2020 Viikko 23;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 23;
Pirkanmaan SHP;Vuosi 2020 Viikko 23;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 23;
Kymenlaakson SHP;Vuosi 2020 Viikko 23;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 23;
Etelä-Savon SHP;Vuosi 2020 Viikko 23;
Itä-Savon SHP;Vuosi 2020 Viikko 23;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 23;
Pohjois-Savon SHP;Vuosi 2020 Viikko 23;
Keski-Suomen SHP;Vuosi 2020 Viikko 23;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 23;
Vaasan SHP;Vuosi 2020 Viikko 23;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 23;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 23;
Kainuun SHP;Vuosi 2020 Viikko 23;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 23;
Lapin SHP;Vuosi 2020 Viikko 23;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 23;
Kaikki Alueet;Vuosi 2020 Viikko 23;
Ahvenanmaa;Vuosi 2020 Viikko 24;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 24;
Satakunnan SHP;Vuosi 2020 Viikko 24;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 24;
Pirkanmaan SHP;Vuosi 2020 Viikko 24;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 24;
Kymenlaakson SHP;Vuosi 2020 Viikko 24;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 24;
Etelä-Savon SHP;Vuosi 2020 Viikko 24;
Itä-Savon SHP;Vuosi 2020 Viikko 24;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 24;
Pohjois-Savon SHP;Vuosi 2020 Viikko 24;
Keski-Suomen SHP;Vuosi 2020 Viikko 24;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 24;
Vaasan SHP;Vuosi 2020 Viikko 24;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 24;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 24;
Kainuun SHP;Vuosi 2020 Viikko 24;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 24;
Lapin SHP;Vuosi 2020 Viikko 24;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 24;
Kaikki Alueet;Vuosi 2020 Viikko 24;
Ahvenanmaa;Vuosi 2020 Viikko 25;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 25;
Satakunnan SHP;Vuosi 2020 Viikko 25;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 25;
Pirkanmaan SHP;Vuosi 2020 Viikko 25;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 25;
Kymenlaakson SHP;Vuosi 2020 Viikko 25;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 25;
Etelä-Savon SHP;Vuosi 2020 Viikko 25;
Itä-Savon SHP;Vuosi 2020 Viikko 25;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 25;
Pohjois-Savon SHP;Vuosi 2020 Viikko 25;
Keski-Suomen SHP;Vuosi 2020 Viikko 25;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 25;
Vaasan SHP;Vuosi 2020 Viikko 25;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 25;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 25;
Kainuun SHP;Vuosi 2020 Viikko 25;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 25;
Lapin SHP;Vuosi 2020 Viikko 25;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 25;
Kaikki Alueet;Vuosi 2020 Viikko 25;
Ahvenanmaa;Vuosi 2020 Viikko 26;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 26;
Satakunnan SHP;Vuosi 2020 Viikko 26;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 26;
Pirkanmaan SHP;Vuosi 2020 Viikko 26;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 26;
Kymenlaakson SHP;Vuosi 2020 Viikko 26;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 26;
Etelä-Savon SHP;Vuosi 2020 Viikko 26;
Itä-Savon SHP;Vuosi 2020 Viikko 26;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 26;
Pohjois-Savon SHP;Vuosi 2020 Viikko 26;
Keski-Suomen SHP;Vuosi 2020 Viikko 26;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 26;
Vaasan SHP;Vuosi 2020 Viikko 26;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 26;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 26;
Kainuun SHP;Vuosi 2020 Viikko 26;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 26;
Lapin SHP;Vuosi 2020 Viikko 26;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 26;
Kaikki Alueet;Vuosi 2020 Viikko 26;
Ahvenanmaa;Vuosi 2020 Viikko 27;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 27;
Satakunnan SHP;Vuosi 2020 Viikko 27;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 27;
Pirkanmaan SHP;Vuosi 2020 Viikko 27;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 27;
Kymenlaakson SHP;Vuosi 2020 Viikko 27;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 27;
Etelä-Savon SHP;Vuosi 2020 Viikko 27;
Itä-Savon SHP;Vuosi 2020 Viikko 27;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 27;
Pohjois-Savon SHP;Vuosi 2020 Viikko 27;
Keski-Suomen SHP;Vuosi 2020 Viikko 27;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 27;
Vaasan SHP;Vuosi 2020 Viikko 27;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 27;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 27;
Kainuun SHP;Vuosi 2020 Viikko 27;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 27;
Lapin SHP;Vuosi 2020 Viikko 27;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 27;
Kaikki Alueet;Vuosi 2020 Viikko 27;
Ahvenanmaa;Vuosi 2020 Viikko 28;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 28;
Satakunnan SHP;Vuosi 2020 Viikko 28;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 28;
Pirkanmaan SHP;Vuosi 2020 Viikko 28;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 28;
Kymenlaakson SHP;Vuosi 2020 Viikko 28;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 28;
Etelä-Savon SHP;Vuosi 2020 Viikko 28;
Itä-Savon SHP;Vuosi 2020 Viikko 28;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 28;
Pohjois-Savon SHP;Vuosi 2020 Viikko 28;
Keski-Suomen SHP;Vuosi 2020 Viikko 28;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 28;
Vaasan SHP;Vuosi 2020 Viikko 28;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 28;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 28;
Kainuun SHP;Vuosi 2020 Viikko 28;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 28;
Lapin SHP;Vuosi 2020 Viikko 28;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 28;
Kaikki Alueet;Vuosi 2020 Viikko 28;
Ahvenanmaa;Vuosi 2020 Viikko 29;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 29;
Satakunnan SHP;Vuosi 2020 Viikko 29;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 29;
Pirkanmaan SHP;Vuosi 2020 Viikko 29;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 29;
Kymenlaakson SHP;Vuosi 2020 Viikko 29;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 29;
Etelä-Savon SHP;Vuosi 2020 Viikko 29;
Itä-Savon SHP;Vuosi 2020 Viikko 29;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 29;
Pohjois-Savon SHP;Vuosi 2020 Viikko 29;
Keski-Suomen SHP;Vuosi 2020 Viikko 29;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 29;
Vaasan SHP;Vuosi 2020 Viikko 29;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 29;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 29;
Kainuun SHP;Vuosi 2020 Viikko 29;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 29;
Lapin SHP;Vuosi 2020 Viikko 29;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 29;
Kaikki Alueet;Vuosi 2020 Viikko 29;
Ahvenanmaa;Vuosi 2020 Viikko 30;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 30;
Satakunnan SHP;Vuosi 2020 Viikko 30;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 30;
Pirkanmaan SHP;Vuosi 2020 Viikko 30;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 30;
Kymenlaakson SHP;Vuosi 2020 Viikko 30;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 30;
Etelä-Savon SHP;Vuosi 2020 Viikko 30;
Itä-Savon SHP;Vuosi 2020 Viikko 30;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 30;
Pohjois-Savon SHP;Vuosi 2020 Viikko 30;
Keski-Suomen SHP;Vuosi 2020 Viikko 30;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 30;
Vaasan SHP;Vuosi 2020 Viikko 30;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 30;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 30;
Kainuun SHP;Vuosi 2020 Viikko 30;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 30;
Lapin SHP;Vuosi 2020 Viikko 30;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 30;
Kaikki Alueet;Vuosi 2020 Viikko 30;
Ahvenanmaa;Vuosi 2020 Viikko 31;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 31;
Satakunnan SHP;Vuosi 2020 Viikko 31;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 31;
Pirkanmaan SHP;Vuosi 2020 Viikko 31;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 31;
Kymenlaakson SHP;Vuosi 2020 Viikko 31;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 31;
Etelä-Savon SHP;Vuosi 2020 Viikko 31;
Itä-Savon SHP;Vuosi 2020 Viikko 31;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 31;
Pohjois-Savon SHP;Vuosi 2020 Viikko 31;
Keski-Suomen SHP;Vuosi 2020 Viikko 31;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 31;
Vaasan SHP;Vuosi 2020 Viikko 31;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 31;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 31;
Kainuun SHP;Vuosi 2020 Viikko 31;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 31;
Lapin SHP;Vuosi 2020 Viikko 31;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 31;
Kaikki Alueet;Vuosi 2020 Viikko 31;
Ahvenanmaa;Vuosi 2020 Viikko 32;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 32;
Satakunnan SHP;Vuosi 2020 Viikko 32;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 32;
Pirkanmaan SHP;Vuosi 2020 Viikko 32;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 32;
Kymenlaakson SHP;Vuosi 2020 Viikko 32;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 32;
Etelä-Savon SHP;Vuosi 2020 Viikko 32;
Itä-Savon SHP;Vuosi 2020 Viikko 32;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 32;
Pohjois-Savon SHP;Vuosi 2020 Viikko 32;
Keski-Suomen SHP;Vuosi 2020 Viikko 32;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 32;
Vaasan SHP;Vuosi 2020 Viikko 32;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 32;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 32;
Kainuun SHP;Vuosi 2020 Viikko 32;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 32;
Lapin SHP;Vuosi 2020 Viikko 32;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 32;
Kaikki Alueet;Vuosi 2020 Viikko 32;
Ahvenanmaa;Vuosi 2020 Viikko 33;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 33;
Satakunnan SHP;Vuosi 2020 Viikko 33;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 33;
Pirkanmaan SHP;Vuosi 2020 Viikko 33;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 33;
Kymenlaakson SHP;Vuosi 2020 Viikko 33;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 33;
Etelä-Savon SHP;Vuosi 2020 Viikko 33;
Itä-Savon SHP;Vuosi 2020 Viikko 33;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 33;
Pohjois-Savon SHP;Vuosi 2020 Viikko 33;
Keski-Suomen SHP;Vuosi 2020 Viikko 33;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 33;
Vaasan SHP;Vuosi 2020 Viikko 33;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 33;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 33;
Kainuun SHP;Vuosi 2020 Viikko 33;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 33;
Lapin SHP;Vuosi 2020 Viikko 33;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 33;
Kaikki Alueet;Vuosi 2020 Viikko 33;
Ahvenanmaa;Vuosi 2020 Viikko 34;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 34;
Satakunnan SHP;Vuosi 2020 Viikko 34;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 34;
Pirkanmaan SHP;Vuosi 2020 Viikko 34;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 34;
Kymenlaakson SHP;Vuosi 2020 Viikko 34;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 34;
Etelä-Savon SHP;Vuosi 2020 Viikko 34;
Itä-Savon SHP;Vuosi 2020 Viikko 34;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 34;
Pohjois-Savon SHP;Vuosi 2020 Viikko 34;
Keski-Suomen SHP;Vuosi 2020 Viikko 34;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 34;
Vaasan SHP;Vuosi 2020 Viikko 34;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 34;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 34;
Kainuun SHP;Vuosi 2020 Viikko 34;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 34;
Lapin SHP;Vuosi 2020 Viikko 34;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 34;
Kaikki Alueet;Vuosi 2020 Viikko 34;
Ahvenanmaa;Vuosi 2020 Viikko 35;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 35;
Satakunnan SHP;Vuosi 2020 Viikko 35;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 35;
Pirkanmaan SHP;Vuosi 2020 Viikko 35;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 35;
Kymenlaakson SHP;Vuosi 2020 Viikko 35;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 35;
Etelä-Savon SHP;Vuosi 2020 Viikko 35;
Itä-Savon SHP;Vuosi 2020 Viikko 35;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 35;
Pohjois-Savon SHP;Vuosi 2020 Viikko 35;
Keski-Suomen SHP;Vuosi 2020 Viikko 35;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 35;
Vaasan SHP;Vuosi 2020 Viikko 35;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 35;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 35;
Kainuun SHP;Vuosi 2020 Viikko 35;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 35;
Lapin SHP;Vuosi 2020 Viikko 35;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 35;
Kaikki Alueet;Vuosi 2020 Viikko 35;
Ahvenanmaa;Vuosi 2020 Viikko 36;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 36;
Satakunnan SHP;Vuosi 2020 Viikko 36;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 36;
Pirkanmaan SHP;Vuosi 2020 Viikko 36;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 36;
Kymenlaakson SHP;Vuosi 2020 Viikko 36;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 36;
Etelä-Savon SHP;Vuosi 2020 Viikko 36;
Itä-Savon SHP;Vuosi 2020 Viikko 36;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 36;
Pohjois-Savon SHP;Vuosi 2020 Viikko 36;
Keski-Suomen SHP;Vuosi 2020 Viikko 36;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 36;
Vaasan SHP;Vuosi 2020 Viikko 36;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 36;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 36;
Kainuun SHP;Vuosi 2020 Viikko 36;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 36;
Lapin SHP;Vuosi 2020 Viikko 36;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 36;
Kaikki Alueet;Vuosi 2020 Viikko 36;
Ahvenanmaa;Vuosi 2020 Viikko 37;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 37;
Satakunnan SHP;Vuosi 2020 Viikko 37;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 37;
Pirkanmaan SHP;Vuosi 2020 Viikko 37;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 37;
Kymenlaakson SHP;Vuosi 2020 Viikko 37;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 37;
Etelä-Savon SHP;Vuosi 2020 Viikko 37;
Itä-Savon SHP;Vuosi 2020 Viikko 37;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 37;
Pohjois-Savon SHP;Vuosi 2020 Viikko 37;
Keski-Suomen SHP;Vuosi 2020 Viikko 37;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 37;
Vaasan SHP;Vuosi 2020 Viikko 37;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 37;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 37;
Kainuun SHP;Vuosi 2020 Viikko 37;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 37;
Lapin SHP;Vuosi 2020 Viikko 37;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 37;
Kaikki Alueet;Vuosi 2020 Viikko 37;
Ahvenanmaa;Vuosi 2020 Viikko 38;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 38;
Satakunnan SHP;Vuosi 2020 Viikko 38;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 38;
Pirkanmaan SHP;Vuosi 2020 Viikko 38;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 38;
Kymenlaakson SHP;Vuosi 2020 Viikko 38;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 38;
Etelä-Savon SHP;Vuosi 2020 Viikko 38;
Itä-Savon SHP;Vuosi 2020 Viikko 38;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 38;
Pohjois-Savon SHP;Vuosi 2020 Viikko 38;
Keski-Suomen SHP;Vuosi 2020 Viikko 38;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 38;
Vaasan SHP;Vuosi 2020 Viikko 38;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 38;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 38;
Kainuun SHP;Vuosi 2020 Viikko 38;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 38;
Lapin SHP;Vuosi 2020 Viikko 38;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 38;
Kaikki Alueet;Vuosi 2020 Viikko 38;
Ahvenanmaa;Vuosi 2020 Viikko 39;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 39;
Satakunnan SHP;Vuosi 2020 Viikko 39;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 39;
Pirkanmaan SHP;Vuosi 2020 Viikko 39;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 39;
Kymenlaakson SHP;Vuosi 2020 Viikko 39;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 39;
Etelä-Savon SHP;Vuosi 2020 Viikko 39;
Itä-Savon SHP;Vuosi 2020 Viikko 39;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 39;
Pohjois-Savon SHP;Vuosi 2020 Viikko 39;
Keski-Suomen SHP;Vuosi 2020 Viikko 39;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 39;
Vaasan SHP;Vuosi 2020 Viikko 39;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 39;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 39;
Kainuun SHP;Vuosi 2020 Viikko 39;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 39;
Lapin SHP;Vuosi 2020 Viikko 39;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 39;
Kaikki Alueet;Vuosi 2020 Viikko 39;
Ahvenanmaa;Vuosi 2020 Viikko 40;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 40;
Satakunnan SHP;Vuosi 2020 Viikko 40;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 40;
Pirkanmaan SHP;Vuosi 2020 Viikko 40;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 40;
Kymenlaakson SHP;Vuosi 2020 Viikko 40;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 40;
Etelä-Savon SHP;Vuosi 2020 Viikko 40;
Itä-Savon SHP;Vuosi 2020 Viikko 40;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 40;
Pohjois-Savon SHP;Vuosi 2020 Viikko 40;
Keski-Suomen SHP;Vuosi 2020 Viikko 40;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 40;
Vaasan SHP;Vuosi 2020 Viikko 40;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 40;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 40;
Kainuun SHP;Vuosi 2020 Viikko 40;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 40;
Lapin SHP;Vuosi 2020 Viikko 40;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 40;
Kaikki Alueet;Vuosi 2020 Viikko 40;
Ahvenanmaa;Vuosi 2020 Viikko 41;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 41;
Satakunnan SHP;Vuosi 2020 Viikko 41;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 41;
Pirkanmaan SHP;Vuosi 2020 Viikko 41;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 41;
Kymenlaakson SHP;Vuosi 2020 Viikko 41;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 41;
Etelä-Savon SHP;Vuosi 2020 Viikko 41;
Itä-Savon SHP;Vuosi 2020 Viikko 41;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 41;
Pohjois-Savon SHP;Vuosi 2020 Viikko 41;
Keski-Suomen SHP;Vuosi 2020 Viikko 41;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 41;
Vaasan SHP;Vuosi 2020 Viikko 41;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 41;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 41;
Kainuun SHP;Vuosi 2020 Viikko 41;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 41;
Lapin SHP;Vuosi 2020 Viikko 41;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 41;
Kaikki Alueet;Vuosi 2020 Viikko 41;
Ahvenanmaa;Vuosi 2020 Viikko 42;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 42;
Satakunnan SHP;Vuosi 2020 Viikko 42;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 42;
Pirkanmaan SHP;Vuosi 2020 Viikko 42;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 42;
Kymenlaakson SHP;Vuosi 2020 Viikko 42;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 42;
Etelä-Savon SHP;Vuosi 2020 Viikko 42;
Itä-Savon SHP;Vuosi 2020 Viikko 42;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 42;
Pohjois-Savon SHP;Vuosi 2020 Viikko 42;
Keski-Suomen SHP;Vuosi 2020 Viikko 42;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 42;
Vaasan SHP;Vuosi 2020 Viikko 42;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 42;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 42;
Kainuun SHP;Vuosi 2020 Viikko 42;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 42;
Lapin SHP;Vuosi 2020 Viikko 42;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 42;
Kaikki Alueet;Vuosi 2020 Viikko 42;
Ahvenanmaa;Vuosi 2020 Viikko 43;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 43;
Satakunnan SHP;Vuosi 2020 Viikko 43;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 43;
