Alue;val
Ahvenanmaa;10
Varsinais-Suomen SHP;175
Satakunnan SHP;41
Kanta-Hämeen SHP;59
Pirkanmaan SHP;179
Päijät-Hämeen SHP;51
Kymenlaakson SHP;30
Etelä-Karjalan SHP;15
Etelä-Savon SHP;39
Itä-Savon SHP;9
Pohjois-Karjalan SHP;17
Pohjois-Savon SHP;100
Keski-Suomen SHP;105
Etelä-Pohjanmaan SHP;30
Vaasan SHP;38
Keski-Pohjanmaan SHP;13
Pohjois-Pohjanmaan SHP;106
Kainuun SHP;42
Länsi-Pohjan SHP;54
Lapin SHP;61
Helsingin ja Uudenmaan SHP;1987
Kaikki Alueet;3161
